uri,artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,1,8,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,143.874,4,242014
spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,2,13,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,118.051,4,215627
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,66,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,171.005,4,200040
spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,1,18,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,109.928,4,205090
spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,"Lil Tjay, 6LACK",Calling My Phone,4,3,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,104.949,4,205458
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,6,2,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,83.97,4,160191
spotify:track:3VT8hOC5vuDXBsHrR53WFh,Masked Wolf,Astronaut In The Ocean,7,7,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,149.996,4,132780
spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,5,11,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,168.021,4,232853
spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,9,18,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,120.031,4,164000
spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),1,30,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,90.989,4,140526
spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,7,13,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,93.005,4,161385
spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,2,14,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,81.993,4,203201
spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,9,8,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,90.035,4,226987
spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,14,4,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,166.0,4,156945
spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,5,10,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,121.002,4,279204
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),14,22,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,102.977,4,203064
spotify:track:1t9WgS8FN0534tLBRwbaxO,CJ,Whoopty,8,19,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,140.201,4,123263
spotify:track:7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,3,19,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,163.908,4,178947
spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,2,28,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,114.044,4,199054
spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,20,3,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,89.087,3,198371
spotify:track:0D75ciM842cdUMKSMfAR9y,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),17,5,0.824,0.545,5,-7.127,1,0.0699,0.0221,0.00375,0.097,149.912,4,186088
spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,1,19,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,144.015,4,172325
spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,5,18,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,109.978,4,173711
spotify:track:5YYW3yRktprLRr47WK219Y,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,24,3,0.585,0.611,6,-4.132,1,0.288,0.39,0.0,0.649,97.041,4,218107
spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",2,29,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,140.042,4,195429
spotify:track:3VvA1wSxukMLsvXoXtlwWx,Boza,Hecha Pa' Mi,17,14,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,100.07,4,186133
spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,We're Good,22,3,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,134.01,4,165507
spotify:track:6ft4hAq6yde8jPZY2i5zLr,"MEDUZA, Dermot Kennedy",Paradise (feat. Dermot Kennedy),25,18,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,124.114,4,167903
spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,113,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,109.891,4,182161
spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,6,9,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,115.884,4,190779
spotify:track:3iw6V4LH7yPj1ESORX9RIN,"Nathan Evans, 220 KID, Billen Ted",Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,31,3,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,119.932,4,116750
spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,13,34,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,124.148,4,169266
spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,33,10,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,80.87,4,238805
spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,26,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,83.995,4,160000
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Travis Scott, HVME",Goosebumps - Remix,35,7,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,124.917,4,162803
spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,68,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,95.39,4,174000
spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,35,8,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,72.017,3,185147
spotify:track:6cx06DFPPHchuUAcTxznu9,"Joel Corry, MNEK",Head & Heart (feat. MNEK),11,34,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,122.953,4,166028
