uri,artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
spotify:track:0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,1,13,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,171.017,4,201573
spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,1,32,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,98.083,4,209755
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,1,11,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,116.971,4,196653
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,4,17,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,123.941,4,183290
spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),5,3,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,147.986,4,212867
spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,3,16,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,101.085,4,200960
spotify:track:4ejyZ4uJEXUURcgKp1kP8v,The Weeknd,After Hours,7,2,0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,108.959,4,361947
spotify:track:4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,5,15,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,127.085,4,159382
spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,2,18,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,116.735,5,163636
spotify:track:73SpzrcaHk0RQPFP73vqVR,Billie Eilish,No Time To Die,4,2,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,73.537,4,242265
